n,d_first,d_last,d_mean,tour_len,hop,E_excursion,E_tour,E_hover,M,Emax,K,seed
20,374.04770906570695,187.75220517590407,343.0162116446596,1697.3932030633591,89.33648437175574,4213.499356812083,12730.449022975194,609.4714720236123,50,50000,2,9925823
16,484.1403702012258,156.67658528882106,451.5673420086666,1763.7374298854495,117.58249532569663,4806.127166175352,13228.030724140872,418.59799691642,50,50000,2,9925823
14,584.7428631912446,67.78415834045411,335.15544449776377,1708.4157584525651,131.41659680404348,4893.95266148774,12813.118188394239,381.7081052749388,50,50000,2,3820097
16,544.0113542309882,80.38001333038373,407.00469068223356,1851.2047808909083,123.41365205939388,4682.93525671029,13884.035856681812,389.13158106449026,50,50000,2,3820097
15,397.2996642919975,133.70431831584054,339.3054946477825,1728.0797071875863,123.43426479911331,3982.529869558785,12960.597803906898,442.93819131747097,50,50000,2,9535879
17,336.36514656307327,68.08890671666794,384.8819720585893,1745.869551187906,109.11684694924412,3033.405399598059,13094.021633909295,439.1192404908206,50,50000,2,9535879
14,399.75750793389335,101.96101676663248,350.9968287646139,1637.542133110156,125.964779470012,3762.888935253944,12281.56599832617,338.16871814479015,50,50000,2,8271480
15,507.1219990474286,207.3797166328998,331.754900773901,1360.065482483492,97.14753446310657,5358.762867602463,10200.491118626189,431.4662384518943,50,50000,2,8271480
19,196.17030474601603,171.9344203483549,293.10411627533284,1720.7336083019209,95.59631157232894,2760.7854382077817,12905.502062264406,513.3821294334307,50,50000,2,6394530
14,541.4098095009869,116.42997160506894,331.2960528799412,1782.2283610226732,137.0944893094364,4933.798358295418,13366.712707670049,483.8021251603479,50,50000,2,6394530
16,178.52631148246334,131.7353038112792,283.9110623661909,1820.1721831192328,121.34481220794886,2326.9621147030693,13651.291373394246,325.5071862214149,50,50000,2,8372552
14,351.5250395417067,279.86735252790993,375.4494895557887,1652.7199488702076,127.13230375924674,4735.442940522124,12395.399616526558,379.27353733220565,50,50000,2,8372552
16,399.9394168931722,190.04151745898727,420.0123851895158,1267.9662000240207,84.53108000160138,4424.857007641196,9509.746500180156,532.8772851202394,50,50000,3,4474730
13,121.75443024662259,152.4944418427394,360.1531880868757,1534.67892115509,127.8899100962575,2056.8665406702153,11510.091908663175,344.8300266016389,50,50000,3,4474730
13,185.14879995759392,193.39575656136637,255.52751468358295,1424.123648096685,118.67697067472375,2839.084173892202,10680.927360725138,418.80328730210795,50,50000,3,4474730
17,347.91725061432066,107.88394399518006,355.0357889337764,1449.6540859100533,90.60338036937833,3418.508959571255,10872.4056443254,379.51031835984,50,50000,3,9944578
13,275.1785053952919,273.8184890306461,327.8463970480276,1284.3926451276595,107.03272042730497,4117.477458194536,9632.944838457446,406.3081888913125,50,50000,3,9944578
